id,size,storage,complexity,codec,level,compress,decompress,dc_no_cache,ratio
736,large,ephemeral,poisson,tables_blosc_lz4,9,0.23927887280782065,0.16225465138753256,0.17416008313496908,9.876769271184935
737,small,esb,bitcoin,tables_blosc_lz4hc,3,0.055683326721191403,0.0022228240966796877,0.00750279426574707,1.4588071620361998
738,large,ephemeral,linspace,bloscpack_zlib,3,0.34024659792582196,0.11178676287333171,0.1164858341217041,25.11863111585952
739,mid,esb,linspace,zfile,3,0.5241266886393229,0.05818915367126465,0.08693671226501465,1.6600401800344173
740,large,ephemeral,bitcoin,tables_lzo,7,0.8213833967844645,0.2942188580830892,0.4495415687561035,1.3400248870016618
741,large,ephemeral,poisson,tables_blosc_lz4hc,3,0.8757797082265218,0.16256380081176758,0.17232402165730795,10.302679327808969
742,large,ephemeral,bitcoin,bloscpack_zlib,7,7.4511706829071045,0.6670773029327393,0.8610889116923014,1.6201481451266315
743,large,ephemeral,arange,tables_blosc_zlib,1,0.5455862681070963,0.20619535446166992,0.21350709597269693,105.19379938282752
744,large,ephemeral,arange,tables_blosc_lz4,3,0.13575291633605957,0.14774060249328613,0.15657591819763184,35.09177750647904
745,small,esb,linspace,bloscpack_blosclz,1,0.035582780838012695,0.000554656982421875,0.003032684326171875,3.0188661862550057
746,small,ephemeral,arange,bloscpack_blosclz,3,0.027831602096557616,0.00046401023864746095,0.0018259525299072266,33.82939734159246
747,mid,esb,arange,bloscpack_blosclz,3,0.038836002349853516,0.0018929640452067058,0.007459719975789388,34.53830394139619
748,large,ephemeral,poisson,tables_blosc_lz4,1,0.19764018058776855,0.1512922445933024,0.16293994585673013,8.123131079318156
749,small,esb,arange,tables_blosc_zlib,1,0.037245655059814455,0.0028656482696533202,0.006998729705810547,59.93232738911751
750,small,esb,neuronal,bloscpack_zlib,9,0.2442613124847412,0.003759908676147461,0.007679080963134766,2.4965203623680106
751,mid,ephemeral,arange,tables_zlib,9,0.11359381675720215,0.028298377990722656,0.04007633527119955,167.67021650836293
752,small,ephemeral,arange,tables_blosc_lz4,1,0.033226299285888675,0.0017789363861083984,0.005691385269165039,64.6949654491609
753,large,esb,neuronal,tables_blosc_blosclz,5,0.9596250057220459,0.17098418871561685,0.42835434277852374,1.6335585917723408
754,small,ephemeral,poisson,tables_blosc_lz4,3,0.03308086395263672,0.0018991470336914063,0.006174135208129883,8.905860370307456
755,small,esb,arange,zfile,7,0.17825636863708497,0.002937030792236328,0.0054817676544189455,5.288039860407883
756,large,ephemeral,neuronal,tables_blosc_zlib,1,1.6139589945475261,0.3554200331370036,0.3741594950358073,2.446569431466174
757,large,esb,poisson,bloscpack_snappy,7,0.24997289975484213,0.08778134981791179,0.10283517837524414,6.930028309608711
758,mid,ephemeral,linspace,bloscpack_lz4hc,9,0.06512840588887532,0.004274606704711914,0.012819131215413412,70.1294810058855
759,small,esb,linspace,tables_lzo,5,0.03648667335510254,0.002640819549560547,0.006806516647338867,19.89707779886148
760,large,ephemeral,arange,bloscpack_zlib,7,0.7213523387908936,0.3219539324442546,0.3252556324005127,367.12917738914274
761,mid,ephemeral,bitcoin,npy,0,0.11226423581441243,0.0018560091654459636,0.04021159807840983,0.999992370663676
762,mid,esb,bitcoin,bloscpack_blosclz,5,0.13017694155375162,0.0034468968709309897,0.028108914693196613,1.3319206809489192
763,small,esb,poisson,tables_blosc_lz4hc,7,0.044768762588500974,0.0018597126007080078,0.006167411804199219,9.316865992571927
764,small,esb,bitcoin,zfile,1,0.05160179138183594,0.004286432266235351,0.007159709930419922,3.6876373751973808
765,large,ephemeral,neuronal,bloscpack_blosclz,9,0.6560219128926595,0.1592090924580892,0.34169451395670575,1.6663931659725215
766,mid,esb,poisson,bloscpack_lz4,7,0.05089418093363444,0.0026775201161702475,0.008219083150227865,9.611498130087263
767,mid,ephemeral,neuronal,tables_lzo,3,0.08916918436686198,0.018907864888509113,0.036089579264322914,1.8160540706711639
768,small,esb,arange,bloscpack_blosclz,5,0.03212294578552246,0.00046267509460449217,0.0018675804138183593,55.107000210216526
769,large,ephemeral,poisson,bloscpack_lz4hc,9,0.9607297579447428,0.15370678901672363,0.16111445426940918,12.090563460134184
770,mid,ephemeral,bitcoin,tables_blosc_blosclz,9,0.504560629526774,0.009910504023234049,0.03457085291544596,1.5398806043883342
771,mid,ephemeral,bitcoin,bloscpack_zlib,9,0.8124921321868896,0.05150914192199707,0.08045514424641927,1.7227076997892157
772,small,ephemeral,bitcoin,bloscpack_snappy,5,0.03335728645324707,0.0007628440856933594,0.0053403377532958984,1.4066953038429444
773,small,esb,neuronal,zfile,3,0.07497649192810059,0.005256223678588867,0.008370065689086914,2.2836285392587947
774,small,esb,arange,tables_zlib,5,0.044678115844726564,0.004167890548706055,0.008486366271972657,85.25701276526547
775,small,esb,bitcoin,zfile,3,0.055855941772460935,0.004091978073120117,0.007124710083007813,3.8653189716821856
776,large,ephemeral,poisson,tables_blosc_blosclz,1,0.8349189758300781,0.16314188639322916,0.17230836550394693,9.89053196169411
777,mid,ephemeral,poisson,bloscpack_lz4hc,3,0.06977613766988118,0.0026551087697347007,0.00897367795308431,10.324481277957034
778,mid,ephemeral,bitcoin,tables_zlib,7,0.5295681158701578,0.05781269073486328,0.07322510083516438,1.7053191203890805
779,small,esb,neuronal,tables_zlib,9,0.08840579986572265,0.006288480758666992,0.011058235168457031,2.4736225032613595
780,small,ephemeral,arange,bloscpack_snappy,9,0.029747819900512694,0.0006046772003173828,0.002143573760986328,20.09536220774243
781,small,esb,poisson,tables_blosc_lz4hc,1,0.04299159049987793,0.001880979537963867,0.0062138080596923825,9.137120948065528
782,large,ephemeral,bitcoin,tables_blosc_lz4,7,0.8368674119313558,0.18683513005574545,0.3604174455006917,1.3395726535122032
783,mid,esb,bitcoin,tables,0,0.1470665136973063,0.004365444183349609,0.04023385047912598,0.9990891178163219
784,large,esb,linspace,tables_blosc_zlib,3,0.6827129522959391,0.22026777267456055,0.23133579889933267,24.983375406084445
785,mid,esb,poisson,tables_blosc_snappy,3,0.06432962417602539,0.007858514785766602,0.019968191782633465,6.240260899579847
786,small,ephemeral,neuronal,npy,0,0.03177285194396973,0.0006231307983398437,0.006517457962036133,0.9999237118750095
787,small,ephemeral,bitcoin,tables_blosc_lz4,5,0.036999082565307616,0.0022907257080078125,0.009126949310302734,1.4028054074663705
788,mid,ephemeral,poisson,bloscpack_blosclz,7,0.03685712814331055,0.003364721934000651,0.009360313415527344,11.143884379818969
789,small,ephemeral,bitcoin,bloscpack_lz4,3,0.0315950870513916,0.0007085800170898438,0.005440187454223633,1.3894091894441707
790,large,ephemeral,poisson,bloscpack_lz4,1,0.16845067342122397,0.07615057627360027,0.08849795659383138,8.135541881697854
791,small,esb,bitcoin,bloscpack_blosclz,9,0.04247865676879883,0.0013426780700683595,0.005242300033569336,1.4739715629151176
792,mid,ephemeral,linspace,tables_zlib,7,0.11876710255940755,0.02332909901936849,0.0360112190246582,35.292042784924305
793,large,esb,linspace,tables_blosc_blosclz,5,0.2514220078786214,0.15125417709350586,0.16436767578125,8.522777656806726
794,small,esb,linspace,bloscpack_lz4,7,0.03374204635620117,0.0005298137664794921,0.0021331787109375,18.240545524127615
795,mid,ephemeral,bitcoin,tables_blosc_lz4,5,0.0981910228729248,0.009777148564656576,0.038700262705485024,1.4724409504103508
796,small,ephemeral,neuronal,tables_blosc_zlib,3,0.05966963768005371,0.005418252944946289,0.010159492492675781,2.342914342914343
797,large,ephemeral,bitcoin,zfile,1,2.3626312414805093,0.6774246692657471,0.8075620333353678,2.4210706775562696
798,large,ephemeral,bitcoin,bloscpack_zlib,5,1.868637243906657,0.2753770351409912,0.4676303068796794,1.6156917304258804
799,mid,ephemeral,linspace,tables_blosc_lz4hc,5,0.07647999127705891,0.006242593129475911,0.018722931543986004,27.882172125698666
800,mid,esb,arange,tables_blosc_zlib,9,0.09933845202128093,0.02465367317199707,0.03657285372416178,140.22895046538997
801,large,ephemeral,poisson,tables_blosc_snappy,9,0.2924771308898926,0.19683027267456055,0.21205623944600424,7.027263470977964
802,mid,ephemeral,bitcoin,bloscpack_blosclz,9,0.10870051383972168,0.008484601974487305,0.03528459866841634,1.521328539331581
